Region,code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
    Melbourne - Inner,206,431549,441412,450686,460547,470414,480345,492684,505194,518026,526230,532351,549795,571493,592422,611882,633471,658882,682375,701768,713203
    Melbourne - Inner East,207,333832,334821,335411,336286,337817,339937,343806,348379,352770,354957,356245,359544,363855,368527,373470,379590,386041,391246,397150,400191
    Melbourne - Inner South,208,353530,356514,359054,362115,365366,370194,376252,382949,390239,393350,395206,400456,406078,412335,418467,425967,432935,439622,445933,450242
    Melbourne - North East,209,388370,390954,394116,396565,401371,406937,414978,424488,435340,444623,454330,466731,479318,491185,503812,519100,533165,545317,556765,566199
    Melbourne - North West,210,280196,283267,286867,290880,294907,299857,305840,312323,320401,326252,331282,338712,347133,357156,367808,381178,393316,406246,419447,429721
    Melbourne - Outer East,211,469227,471678,473213,473467,474720,477402,481457,486118,492222,494454,495565,499371,503724,508334,513491,519929,525721,530366,534528,536496
    Melbourne - South East,212,545375,554434,566134,577600,589131,602481,617719,635453,655058,669823,684430,703106,722578,742604,765391,791564,818212,842769,866556,883260
    Melbourne - West,213,453290,464240,477447,490693,507357,524142,545102,567442,593477,618574,640336,664234,687536,710786,735070,762558,791104,819102,846712,867699
    Mornington Peninsula,214,244880,248259,251103,253798,256289,259465,263922,269092,274254,277594,279621,283894,288352,292681,296621,301030,304552,307670,310264,312200
    Ballarat,201,133961,134805,135729,136262,137070,138051,139530,141666,144152,146577,148656,150776,153017,155108,157237,159994,162339,164783,167543,169854
    Bendigo,202,128054,129246,130693,131718,132581,133945,135719,137368,139241,140967,142693,145050,147563,150101,152591,155536,157806,160334,162910,165248
    Geelong,203,222969,226737,229493,231658,233794,236055,239456,243415,247731,252091,256580,261251,266726,272154,278436,286384,293975,301832,310133,317857
    Hume,204,152109,152998,154097,155019,155624,156105,157011,157809,158875,160178,161335,163367,165487,167594,169800,172575,174580,176669,178675,180610
    Latrobe - Gippsland,205,236201,237040,238011,239186,240758,242747,245281,248334,251818,256142,259952,263159,266024,268583,271644,275780,279310,283025,286921,291051
    North West,215,150966,151164,150662,150144,149994,150211,150107,150139,150462,150219,149634,150355,150981,151278,151422,151907,152073,152108,152096,152207
    Shepparton,216,119439,120115,120763,120747,121325,122334,123203,124340,125562,126533,127002,128244,129328,130322,131170,132118,132892,133494,134132,134857
    Warrnambool and South West,217,119667,120090,120330,120464,120728,121058,121455,121866,122306,122537,122599,123046,123476,123747,124010,124491,124703,125061,125347,125775
