lga_name,suburb,latitude,longitude
Alpine,Abbeyard,-36.8466834,146.6962857
Yarra,Abbotsford,-37.8023601,144.9983623
Moonee Valley,Aberfeldie,-37.7493029,144.9006313
Murrindindi,Acheron,-37.1872994,145.6245586
Baw Baw,Ada,-37.7865626,146.0696009
Bass Coast,Adams Estate,-38.3114378,145.5579927
South Gippsland,Agnes,-38.6183432,146.3488562
Colac-Otway,Aire Valley,-38.6505708,143.4554195
Surf Coast,Aireys Inlet,-38.451657,144.0521131
Brimbank,Airport West,-37.7245197,144.8758725
Hindmarsh,Albacutya,-35.8357024,141.9791849
Brimbank,Albanvale,-37.7435941,144.8016402
Port Phillip,Albert Park,-37.8460268,144.9584302
Brimbank,Albion,-37.7791149,144.823628
Murrindindi,Alexandra,-37.1872994,145.6245586
Baw Baw,Allambee,-38.2245094,146.0584482
Baw Baw,Allambee Reserve,-38.4049813,146.1812023
Baw Baw,Allambee South,-38.4049813,146.1812023
Moyne,Allansford,-38.4034955,142.6814062
Glenelg,Allestree,-38.290126,141.4706543
Moira,Almonds,-36.2467001,145.958135
Bass Coast,Almurta,-38.4509941,145.6134608
Darebin,Alphington,-37.7824868,145.0190242
Hobsons Bay,Altona,-37.859343,144.8126334
Hobsons Bay,Altona Meadows,-37.8760399,144.7796581
Hobsons Bay,Altona North,-37.8388686,144.8346241
Central Goldfields,Amherst,-37.2153546,143.6718623
Baw Baw,Amor,-38.0474021,146.2929381
Pyrenees,Amphitheatre,-37.1974706,143.4122052
Golden Plains,Anakie,-37.9873525,144.2811537
Mansfield,Ancona,-36.9771194,145.7356129
Alpine,Anglers Rest,-37.022052,147.5079912
Surf Coast,Anglesea,-38.3850062,144.1501922
Swan Hill,Annuello,-34.7552395,142.7455935
Hindmarsh,Antwerp,-36.314886,142.0639245
Colac-Otway,Apollo Bay,-38.7494709,143.6285244
West Wimmera,Apsley,-36.8910613,141.0540674
Horsham,Arapiles,-36.8127092,141.8100218
Bass Coast,Arawata,-38.5195374,145.7356129
Greater Shepparton,Arcadia,-36.4324574,145.4693163
Greater Shepparton,Arcadia South,-36.4324574,145.4693163
Central Goldfields,Archdale,-36.6942531,143.5202874
Central Goldfields,Archdale Junction,-36.6942531,143.5202874
Bass Coast,Archies Creek,-38.6238593,145.6023644
Brimbank,Ardeer,-37.7776716,144.7988921
Greater Shepparton,Ardmona,-36.2976747,145.2922335
Buloke,Areegra,-36.3286415,142.9170407
Campaspe,Argyle,-36.8919051,144.7412036
Stonnington,Armadale,-37.857253,145.0190242
Greater Geelong,Armstrong Creek,-38.2617284,144.3248554
Nillumbik,Arthurs Creek,-37.5885255,145.2148736
Mornington Peninsula,Arthurs Seat,-38.3352183,144.9942305
Maribyrnong,Ascot Vale,-37.7773364,144.9006313
Macedon Ranges,Ashbourne,-37.3324774,144.5437205
