city_name,LGA_name,
Melbourne,City of Melbourne,
Officer,Shire of Cardinia,
Bendigo,City of Greater Bendigo,
Pakenham,Shire of Cardinia,
Metung,Shire of East Gippsland,
Beechworth,Shire of Indigo,
Nhill,Shire of Hindmarsh,
Geelong,City of Greater Geelong,
Seymour,Shire of Mitchell,
Lara,City of Greater Geelong,
Warrnambool,City of Warrnambool,
Red Hill South,Shire of Mornington Peninsula,
Echuca,Shire of Campaspe,
Bacchus Marsh,Shire of Moorabool,
Aireys Inlet - Fairhaven,Surf Coast Shire,
Foster,South Gippsland Shire,
Mildura,Rural City of Mildura,
Merbein,Rural City of Mildura,
Yarrawonga,Shire of Moira,
Cobram,Shire of Moira,
Rutherglen,Shire of Indigo,
Sale,Shire of Wellington,
Torquay - Jan Juc,Surf Coast Shire,
Cape Schanck,Shire of Mornington Peninsula,
Cape Woolamai,Bass Coast Shire,
Cowes,Bass Coast Shire,
Apollo Bay,Colac Otway Shire,
Point Lonsdale - Queenscliff,Borough of Queenscliffe,
Lakes Entrance,Shire of East Gippsland,
Broadford,Shire of Mitchell,
Traralgon,City of Latrobe,
Anglesea,Surf Coast Shire,
Melton,City of Melton,
Stawell,Shire of Northern Grampians,
Gisborne,Shire of Macedon Ranges,
Riddells Creek,Shire of Macedon Ranges,
Sunbury,City of Hume,
Nagambie,Shire of Strathbogie,
Ballarat,City of Ballarat,
Creswick,Shire of Hepburn,
Marengo,Colac Otway Shire,
Heathcote,City of Greater Bendigo,
Horsham,Rural City of Horsham,
Ocean Grove - Barwon Heads,City of Greater Geelong,
Bright,Alpine Shire,
Wangaratta,Rural City of Wangaratta,
Drysdale - Clifton Springs,City of Greater Geelong,
Winchelsea,Surf Coast Shire,
Birregurra,Colac Otway Shire,
Blind Bight,City of Casey,
Grantville,Bass Coast Shire,
Dalyston,Bass Coast Shire,
Kilcunda,Bass Coast Shire,
Flinders,Shire of Mornington Peninsula,
Balnarring - Balnarring Beach,Shire of Mornington Peninsula,
Port Fairy,Shire of Moyne,
Leopold,City of Greater Geelong,
Wodonga,City of Wodonga,
Camperdown,Corangamite Shire,
Castlemaine,Shire of Mount Alexander,
Halls Gap,Shire of Northern Grampians,
Ararat,Rural City of Ararat,
Kyneton,Shire of Macedon Ranges,
Lancefield,Shire of Macedon Ranges,
Romsey,Shire of Macedon Ranges,
Daylesford - Hepburn Springs,Shire of Hepburn,
Yarra Glen,Shire of Yarra Ranges,
Woodend,Shire of Macedon Ranges,
Lorne,Surf Coast Shire,
Colac,Colac Otway Shire,
Beaconsfield Upper,Shire of Cardinia,
Port Albert,Shire of Wellington,
Woori Yallock - Launching Place,Shire of Yarra Ranges,
Bairnsdale,Shire of East Gippsland,
Orbost,Shire of East Gippsland,
Seville,Shire of Yarra Ranges,
Wallan,Shire of Mitchell,
Koroit,Shire of Moyne,
Healesville,Shire of Yarra Ranges,
Kilmore,Shire of Mitchell,
Rupanyup,Shire of Yarriambiack,
Shepparton - Mooroopna,City of Greater Shepparton,
Morwell,City of Latrobe,
Mansfield,Shire of Mansfield,
Omeo,Shire of East Gippsland,
Hopetoun Park,Shire of Moorabool,
Swan Hill,Rural City of Swan Hill,
Dunkeld,Shire of Southern Grampians,
Marong,City of Greater Bendigo,
Yinnar,City of Latrobe,
Porepunkah,Alpine Shire,
Portarlington,City of Greater Geelong,
Maldon,Shire of Mount Alexander,
Avoca,Pyrenees Shire,
Batesford,Golden Plains Shire,
St Arnaud,Shire of Northern Grampians,
Marysville,Shire of Murrindindi,
Yarram,Shire of Wellington,
Clyde,City of Casey,
Port Campbell,Corangamite Shire,
Tooradin,City of Casey,
Macedon,Shire of Macedon Ranges,
Benalla,Rural City of Benalla,
Rockbank,City of Melton,
Mount Beauty - Tawonga South,Alpine Shire,
Drouin,Shire of Baw Baw,
Inverloch,Bass Coast Shire,
Sunset Strip,Bass Coast Shire,
Warragul,Shire of Baw Baw,
Moe - Newborough,City of Latrobe,
Numurkah,Shire of Moira,
Yea,Shire of Murrindindi,
Myrtleford,Alpine Shire,
Trafalgar,Shire of Baw Baw,
Baranduda,City of Wodonga,
Little River,City of Wyndham,
Kiewa,Shire of Indigo,
Yackandandah,Shire of Indigo,
Hamilton,Shire of Southern Grampians,
Cobden,Corangamite Shire,
Kerang,Shire of Gannawarra,
Falls Creek (Vic.),Alpine Shire,
Wycheproof,Shire of Buloke,
Kaniva,Shire of West Wimmera,
Tatura,City of Greater Shepparton,
Smythesdale,Pyrenees Shire,
Snake Valley,Pyrenees Shire,
Portland (Vic.),Shire of Glenelg,
Leongatha,South Gippsland Shire,
Paynesville,Shire of East Gippsland,
Marlo,Shire of East Gippsland,
Terang,Corangamite Shire,
Eildon,Shire of Murrindindi,
Red Cliffs,Rural City of Mildura,
Alexandra,Shire of Murrindindi,
Bannockburn,Golden Plains Shire,
Nyah,Rural City of Swan Hill,
Wonga Park,City of Maroondah,
Cohuna,Shire of Gannawarra,
Arthurs Seat,Shire of Mornington Peninsula,
Kyabram,Shire of Campaspe,
Venus Bay,South Gippsland Shire,
Lake Tyers Beach,Shire of East Gippsland,
Yarragon,Shire of Baw Baw,
Cape Paterson,Bass Coast Shire,
Mirboo North,South Gippsland Shire,
Wonthaggi,Bass Coast Shire,
Korumburra,South Gippsland Shire,
Kinglake,Shire of Nillumbik,
Linton,Golden Plains Shire,
Bruthen,Shire of East Gippsland,
Avenel,Shire of Strathbogie,
Axedale,City of Greater Bendigo,
Clunes (Vic.),Shire of Hepburn,
Casterton,Shire of Glenelg,
Chiltern,Shire of Indigo,
Hopetoun (Vic.),Shire of Yarriambiack,
Cardigan Village,City of Ballarat,
Maffra,Shire of Wellington,
Goroke,Shire of West Wimmera,
Harcourt,Shire of Mount Alexander,
Robinvale,Rural City of Swan Hill,
East Warburton,Shire of Yarra Ranges,
Arcadia Downs,City of Greater Shepparton,
Blackwood,Shire of Moorabool,
Toora,South Gippsland Shire,
Ouyen,Rural City of Mildura,
San Remo,Bass Coast Shire,
Trentham,Shire of Moorabool,
Wedderburn,Shire of Loddon,
Longwarry,Shire of Cardinia,
Mortlake,Shire of Moyne,
Sawmill Settlement,Shire of Mansfield,
Euroa,Shire of Strathbogie,
Lockington,Shire of Campaspe,
Maryborough (Vic.),Shire of Central Goldfields,
Churchill,City of Latrobe,
Koonoomoo,Shire of Moira,
Merricks North,Shire of Mornington Peninsula,
Heyfield,Shire of Wellington,
Cowwarr,Shire of Wellington,
Sea Lake,Shire of Buloke,
Beaufort,Pyrenees Shire,
Warracknabeal,Shire of Yarriambiack,
Dimboola,Shire of Hindmarsh,
Kingston SE,City of Kingston,
Laverton,City of Hobsons Bay,
Avalon,City of Greater Geelong,
Strathmerton,Shire of Moira,
Wahring,Shire of Strathbogie,
Warburton,Shire of Yarra Ranges,
Boneo,Shire of Mornington Peninsula,
Willaura,Rural City of Ararat,
Waurn Ponds,City of Greater Geelong,
Teesdale,Golden Plains Shire,
Brighton,City of Bayside,
Hampton Beach,City of Bayside,
Hampton,City of Bayside,
Surf Beach - Sunderland Bay,Bass Coast Shire,
Connewarre,City of Greater Geelong,
Old Tallangatta,Shire of Towong,
Falls Creek,Alpine Shire,
Mount Sturgeon,Shire of Southern Grampians,
Wilsons Promontory National Park,South Gippsland Shire,
Wandiligong,Alpine Shire,
Buninyong,Shire of Moorabool,
Lucas,City of Ballarat,
Durham Lead,City of Ballarat,
Jan Juc,Surf Coast Shire,
Yarck,Shire of Murrindindi,
Swanpool,Rural City of Benalla,
Kanyapella,Shire of Campaspe,
Corop,Shire of Campaspe,
Murchison,City of Greater Shepparton,
Williamstown,City of Hobsons Bay,
Salisbury Falls,Golden Plains Shire,
Glenrowan,Rural City of Wangaratta,
Coldstream,Shire of Yarra Ranges,
Fingal,Shire of Mornington Peninsula,
Mount Buller,Shire of Mansfield,
Byaduk,Shire of Southern Grampians,
Harrietville,Alpine Shire,
Archies Creek,Bass Coast Shire,
Mornington,Shire of Mornington Peninsula,
Meeniyan,South Gippsland Shire,
Red Hill,Shire of Mornington Peninsula,
Darnum,Shire of Baw Baw,
Rosebud Pier,Shire of Mornington Peninsula,
Balnarring Beach,Shire of Mornington Peninsula,
Mount Eliza,Shire of Mornington Peninsula,
Caulfield Racecourse,City of Glen Eira,
Dinner Plain,Alpine Shire,
Irymple,Rural City of Mildura,
Charlton,Shire of Buloke,
Donald,Shire of Buloke,
Rochester,Shire of Campaspe,
Tidal River,Surf Coast Shire,
Cavendish,Shire of Southern Grampians,
Tawonga,Alpine Shire,
Brim,Shire of Yarriambiack,
Yeodene,Colac Otway Shire,
Nullawarre,Shire of Moyne,
Crossley,Shire of Moyne,
Cape Bridgewater,Shire of Glenelg,
Beaumaris,City of Bayside,
Inverleigh,Golden Plains Shire,
Moorooduc,Shire of Mornington Peninsula,
Panton Hill,Shire of Nillumbik,
Buchan,Shire of East Gippsland,
Prahran,City of Stonnington,
Wollert,City of Whittlesea,
Ravenhall,City of Melton,
Drumborg,Shire of Glenelg,
Genoa,Shire of East Gippsland,
Docklands,City of Melbourne,
Southbank,City of Port Phillip,
Elwood,City of Port Phillip,
Warneet,City of Casey,
Corinella,Bass Coast Shire,
Glen Alvie,Bass Coast Shire,
Point Leo,Shire of Mornington Peninsula,
Devon Meadows,City of Casey,
Tuerong,Shire of Mornington Peninsula,
Cannons Creek,City of Casey,
St Kilda,City of Port Phillip,
Lexton,Pyrenees Shire,
Epping,City of Whittlesea,
Forest Hill,City of Whitehorse,
Wellington City,Shire of Wellington,
Epworth Richmond,City of Yarra,
Bullarto,Shire of Hepburn,
Koondrook,Shire of Gannawarra,
Toolern Vale,City of Melton,
Mount Macedon,Shire of Macedon Ranges,
Wellington,Shire of Wellington,
Richmond,City of Yarra,
Newlyn,Shire of Hepburn,
Abbotsford,City of Yarra,
Brooklyn,City of Brimbank,
Bunyip,Shire of Cardinia,
Upper Ferntree Gully,City of Knox,
Harkaway,City of Casey,
Doncaster,City of Manningham,
Bellarine,City of Greater Geelong,
Woodside,Shire of Wellington,
Diggers Rest,City of Hume,
Brunswick,City of Moreland,
Port Melbourne,City of Port Phillip,
Portsea,Shire of Mornington Peninsula,
Edenhope,Shire of West Wimmera,
Point Cook,City of Wyndham,
Summerlands,Bass Coast Shire,
Narbethong,Shire of Murrindindi,
Dixons Creek,Shire of Yarra Ranges,
Dromana,Shire of Mornington Peninsula,
Frankston North,City of Frankston,
Pascoe Vale South,City of Moreland,
Sandy Point,South Gippsland Shire,
Tacoma,Shire of Yarra Ranges,
Saint Albans,City of Brimbank,
Portland,Shire of Glenelg,
Eynesbury,City of Wyndham,
Lilydale,Shire of Yarra Ranges,
South Yarra,City of Stonnington,
Rhyll,Bass Coast Shire,
Freshwater Creek,Surf Coast Shire,
Bayswater,City of Knox,
Mickleham,City of Hume,
Tullamarine,City of Moreland,
Frankston,City of Frankston,
Clarinda,City of Kingston,
Somers,Shire of Mornington Peninsula,
Kensington,City of Melbourne,
Camberwell,City of Boroondara,
Whittlesea,City of Whittlesea,
Darraweit Guim,Shire of Macedon Ranges,
St Kilda Beach,City of Port Phillip,
Armadale,City of Stonnington,
Parkville,City of Moreland,
St Kilda Marina,City of Port Phillip,
West Footscray,City of Maribyrnong,
Cobram East,Shire of Moira,
Wahgunyah,Shire of Indigo,
Burramine,Shire of Moira,
Tungamah,Shire of Moira,
Youarang,Shire of Moira,
Fitzroy,City of Yarra,
Walwa,Shire of Towong,
Wendouree,City of Ballarat,
Hawthorn East,City of Boroondara,
Glen Waverley,City of Monash,
Cobaw,Shire of Macedon Ranges,
Bundalong,Shire of Moira,
Smiths Beach,Bass Coast Shire,
Seaford,City of Frankston,
Ventnor,Bass Coast Shire,
Cape Otway,Colac Otway Shire,
Kilcunda Beach,Colac Otway Shire,
Ascot Vale,City of Moonee Valley,
Flemington,City of Moonee Valley,
Tallarook,Shire of Mitchell,
Raglan,Pyrenees Shire,
Scotsburn,Shire of Moorabool,
Haddon,Golden Plains Shire,
Shepherds Flat,Shire of Hepburn,
Sutton Grange,Shire of Mount Alexander,
Clyde North,City of Casey,
Stanhope,Shire of Campaspe,
Lower Moira,Shire of Moira,
Doveton,City of Casey,
Narre Warren,City of Casey,
Mount Lonarch,Pyrenees Shire,
Gil Gil,Shire of Buloke,
Clonbinane,Shire of Mitchell,
Middle Brighton Beach,City of Bayside,
Brighton Beach,City of Bayside,
Northcote,City of Darebin,
Corryong,Shire of Towong,
Eldorado,Rural City of Wangaratta,
Tyabb,Shire of Mornington Peninsula,
Powelltown,Shire of Yarra Ranges,
Aberfeldie,City of Moonee Valley,
